ticket_id,category,text,priority
TSI-209-0167,Device,"Billing dispute: charged for Unlimited 2GB/day but never subscribed, difference of Rs.1499 on this month's bill.",P2
TSI-209-0281,Data Plan,"Device replacement request for faulty router, still under warranty, 69 days since first complaint.",P2
TSI-209-0169,Roaming,"Roaming charges of Rs.249 applied despite international roaming pack being active, need correction.",P2
TSI-209-0421,Billing,"Feedback on customer support call experience, overall satisfied, small suggestion for wait time.",P3
TSI-209-0450,Billing,"General query about upgrading from Postpaid Infinity 5GB to a higher data plan, want to compare pricing.",P3
TSI-209-0131,Device,"Complete network outage in Pune since 18 hours, entire Pune zone affected, business customers unable to make calls.",P1
TSI-209-0237,Customer Support,"Data plan Unlimited 2GB/day not activating after recharge, 37 hours passed, partial refund also missing.",P2
TSI-209-0432,Data Plan,Requesting duplicate invoice copy for Prepaid Smart 3GB subscription for tax filing purposes.,P3
TSI-209-0226,Roaming,"Device replacement request for faulty router, still under warranty, 25 days since first complaint.",P2
TSI-209-0154,Service Outage,"Internet speed on Unlimited 1.5GB/day dropped to under 1Mbps for 3 days in Mumbai, well below promised speed.",P2
TSI-209-0182,Customer Support,"Data plan Unlimited 1.5GB/day not activating after recharge, 52 hours passed, partial refund also missing.",P2
TSI-209-0435,Network,Asking about coverage map for Delhi before relocating next month.,P3
TSI-209-0058,Network,"Complete network outage in Bangalore since 16 hours, entire Bangalore zone affected, business customers unable to make calls.",P1
TSI-209-0264,Device,"Internet speed on Unlimited 1.5GB/day dropped to under 1Mbps for 3 days in Jaipur, well below promised speed.",P2
TSI-209-0208,Roaming,"Data plan Postpaid Family 4GB not activating after recharge, 58 hours passed, partial refund also missing.",P2
TSI-209-0098,Billing,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0002,Roaming,"Billing system charged Rs.499 twice for same cycle, unauthorized deduction, need reversal today.",P1
TSI-209-0073,Data Plan,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0274,Billing,"Roaming charges of Rs.999 applied despite international roaming pack being active, need correction.",P2
TSI-209-0343,Customer Support,"Feedback on customer support call experience, overall satisfied, small suggestion for wait time.",P3
TSI-209-0358,Service Outage,Would like to know the process to add an additional SIM under Prepaid Smart 3GB family plan.,P3
TSI-209-0357,Roaming,"Minor issue: SMS notifications delayed by a few minutes, not urgent, just reporting.",P3
TSI-209-0263,Network,"Roaming charges of Rs.299 applied despite international roaming pack being active, need correction.",P2
TSI-209-0127,Data Plan,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0408,Network,"General query about upgrading from Unlimited 2GB/day to a higher data plan, want to compare pricing.",P3
TSI-209-0225,Device,"Internet speed on Unlimited 2GB/day dropped to under 1Mbps for 3 days in Jaipur, well below promised speed.",P2
TSI-209-0057,Data Plan,"Billing system charged Rs.1499 twice for same cycle, unauthorized deduction, need reversal today.",P1
TSI-209-0385,Customer Support,Would like to know the process to add an additional SIM under Business Fiber 200Mbps family plan.,P3
TSI-209-0034,Service Outage,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0369,Billing,"Minor issue: SMS notifications delayed by a few minutes, not urgent, just reporting.",P3
TSI-209-0334,Roaming,"General query about upgrading from Unlimited 2GB/day to a higher data plan, want to compare pricing.",P3
TSI-209-0318,Billing,"Feedback on customer support call experience, overall satisfied, small suggestion for wait time.",P3
TSI-209-0426,Device,"General query about upgrading from Unlimited 1.5GB/day to a higher data plan, want to compare pricing.",P3
TSI-209-0016,Data Plan,"Unauthorized transaction of Rs.1499 detected on my account, suspect fraud, need immediate account freeze.",P1
TSI-209-0074,Roaming,"All towers down in Jaipur after storm, zero connectivity for 37+ hours, emergency services unreachable.",P1
TSI-209-0374,Device,Requesting duplicate invoice copy for Unlimited 2GB/day subscription for tax filing purposes.,P3
TSI-209-0409,Roaming,"General query about upgrading from Postpaid Family 4GB to a higher data plan, want to compare pricing.",P3
TSI-209-0282,Device,"Roaming charges of Rs.1499 applied despite international roaming pack being active, need correction.",P2
TSI-209-0316,Customer Support,Would like to know the process to add an additional SIM under Unlimited 1.5GB/day family plan.,P3
TSI-209-0382,Device,Requesting duplicate invoice copy for Postpaid Infinity 5GB subscription for tax filing purposes.,P3
TSI-209-0100,Device,"All towers down in Chandigarh after storm, zero connectivity for 6+ hours, emergency services unreachable.",P1
TSI-209-0163,Service Outage,"Frequent call drops in Hyderabad during peak hours, roughly 68 drops per day, affecting work calls.",P2
TSI-209-0030,Network,"Billing system charged Rs.599 twice for same cycle, unauthorized deduction, need reversal today.",P1
TSI-209-0099,Roaming,"Billing system charged Rs.249 twice for same cycle, unauthorized deduction, need reversal today.",P1
TSI-209-0228,Billing,"Frequent call drops in Chennai during peak hours, roughly 14 drops per day, affecting work calls.",P2
TSI-209-0245,Network,"Data plan Postpaid Family 4GB not activating after recharge, 68 hours passed, partial refund also missing.",P2
TSI-209-0158,Customer Support,"Data plan Postpaid Infinity 5GB not activating after recharge, 55 hours passed, partial refund also missing.",P2
TSI-209-0222,Data Plan,"Internet speed on Postpaid Infinity 5GB dropped to under 1Mbps for 3 days in Jaipur, well below promised speed.",P2
TSI-209-0108,Network,"All towers down in Hyderabad after storm, zero connectivity for 62+ hours, emergency services unreachable.",P1
TSI-209-0204,Roaming,"Internet speed on Unlimited 2GB/day dropped to under 1Mbps for 3 days in Bangalore, well below promised speed.",P2
TSI-209-0324,Data Plan,Asking about coverage map for Chennai before relocating next month.,P3
TSI-209-0113,Device,"Fiber service down for Jaipur business park, 12 customers affected, revenue loss ongoing.",P1
TSI-209-0325,Service Outage,"Minor issue: SMS notifications delayed by a few minutes, not urgent, just reporting.",P3
TSI-209-0174,Service Outage,"Internet speed on Unlimited 1.5GB/day dropped to under 1Mbps for 3 days in Chandigarh, well below promised speed.",P2
TSI-209-0399,Customer Support,"Feedback on customer support call experience, overall satisfied, small suggestion for wait time.",P3
TSI-209-0368,Device,Asking about coverage map for Kolkata before relocating next month.,P3
TSI-209-0106,Customer Support,"Complete network outage in Kochi since 14 hours, entire Kochi zone affected, business customers unable to make calls.",P1
TSI-209-0418,Roaming,"General query about upgrading from Business Fiber 200Mbps to a higher data plan, want to compare pricing.",P3
TSI-209-0220,Customer Support,"Billing dispute: charged for Business Fiber 200Mbps but never subscribed, difference of Rs.999 on this month's bill.",P2
TSI-209-0265,Service Outage,"Data plan Business Fiber 200Mbps not activating after recharge, 55 hours passed, partial refund also missing.",P2
TSI-209-0165,Data Plan,"Data plan Postpaid Infinity 5GB not activating after recharge, 32 hours passed, partial refund also missing.",P2
TSI-209-0044,Customer Support,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0363,Billing,"Feedback on customer support call experience, overall satisfied, small suggestion for wait time.",P3
TSI-209-0445,Device,Requesting duplicate invoice copy for Prepaid Smart 3GB subscription for tax filing purposes.,P3
TSI-209-0429,Roaming,"Feedback on customer support call experience, overall satisfied, small suggestion for wait time.",P3
TSI-209-0234,Service Outage,"Roaming charges of Rs.999 applied despite international roaming pack being active, need correction.",P2
TSI-209-0441,Device,Requesting duplicate invoice copy for Postpaid Infinity 5GB subscription for tax filing purposes.,P3
TSI-209-0294,Billing,"Frequent call drops in Pune during peak hours, roughly 48 drops per day, affecting work calls.",P2
TSI-209-0205,Billing,"Frequent call drops in Kolkata during peak hours, roughly 15 drops per day, affecting work calls.",P2
TSI-209-0114,Billing,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0354,Billing,"Minor issue: SMS notifications delayed by a few minutes, not urgent, just reporting.",P3
TSI-209-0344,Roaming,Would like to know the process to add an additional SIM under Postpaid Family 4GB family plan.,P3
TSI-209-0389,Roaming,"Minor issue: SMS notifications delayed by a few minutes, not urgent, just reporting.",P3
TSI-209-0042,Data Plan,"All towers down in Hyderabad after storm, zero connectivity for 27+ hours, emergency services unreachable.",P1
TSI-209-0438,Roaming,Asking about coverage map for Lucknow before relocating next month.,P3
TSI-209-0412,Billing,"Minor issue: SMS notifications delayed by a few minutes, not urgent, just reporting.",P3
TSI-209-0001,Network,"All towers down in Chandigarh after storm, zero connectivity for 3+ hours, emergency services unreachable.",P1
TSI-209-0151,Data Plan,"Frequent call drops in Lucknow during peak hours, roughly 7 drops per day, affecting work calls.",P2
TSI-209-0180,Device,"Internet speed on Unlimited 2GB/day dropped to under 1Mbps for 3 days in Chennai, well below promised speed.",P2
TSI-209-0062,Network,"Complete network outage in Ahmedabad since 16 hours, entire Ahmedabad zone affected, business customers unable to make calls.",P1
TSI-209-0148,Network,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0076,Billing,"Complete network outage in Ahmedabad since 29 hours, entire Ahmedabad zone affected, business customers unable to make calls.",P1
TSI-209-0425,Service Outage,"General query about upgrading from Postpaid Infinity 5GB to a higher data plan, want to compare pricing.",P3
TSI-209-0189,Data Plan,"Billing dispute: charged for Postpaid Family 4GB but never subscribed, difference of Rs.499 on this month's bill.",P2
TSI-209-0375,Billing,Would like to know the process to add an additional SIM under Unlimited 1.5GB/day family plan.,P3
TSI-209-0243,Roaming,"Device replacement request for faulty router, still under warranty, 57 days since first complaint.",P2
TSI-209-0290,Roaming,"Data plan Unlimited 1.5GB/day not activating after recharge, 4 hours passed, partial refund also missing.",P2
TSI-209-0419,Service Outage,Requesting duplicate invoice copy for Postpaid Family 4GB subscription for tax filing purposes.,P3
TSI-209-0207,Customer Support,"Frequent call drops in Kochi during peak hours, roughly 23 drops per day, affecting work calls.",P2
TSI-209-0155,Service Outage,"Roaming charges of Rs.149 applied despite international roaming pack being active, need correction.",P2
TSI-209-0196,Data Plan,"Billing dispute: charged for Unlimited 2GB/day but never subscribed, difference of Rs.499 on this month's bill.",P2
TSI-209-0396,Customer Support,"Minor issue: SMS notifications delayed by a few minutes, not urgent, just reporting.",P3
TSI-209-0071,Customer Support,"Unauthorized transaction of Rs.499 detected on my account, suspect fraud, need immediate account freeze.",P1
TSI-209-0239,Billing,"Roaming charges of Rs.999 applied despite international roaming pack being active, need correction.",P2
TSI-209-0056,Device,"Billing system charged Rs.149 twice for same cycle, unauthorized deduction, need reversal today.",P1
TSI-209-0326,Roaming,"General query about upgrading from Postpaid Infinity 5GB to a higher data plan, want to compare pricing.",P3
TSI-209-0210,Service Outage,"Roaming charges of Rs.999 applied despite international roaming pack being active, need correction.",P2
TSI-209-0449,Roaming,"Feedback on customer support call experience, overall satisfied, small suggestion for wait time.",P3
TSI-209-0289,Network,"Frequent call drops in Mumbai during peak hours, roughly 17 drops per day, affecting work calls.",P2
TSI-209-0111,Network,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0278,Customer Support,"Billing dispute: charged for Postpaid Family 4GB but never subscribed, difference of Rs.999 on this month's bill.",P2
TSI-209-0017,Data Plan,"Unauthorized transaction of Rs.799 detected on my account, suspect fraud, need immediate account freeze.",P1
TSI-209-0219,Device,"Device replacement request for faulty router, still under warranty, 33 days since first complaint.",P2
TSI-209-0046,Network,"All towers down in Ahmedabad after storm, zero connectivity for 56+ hours, emergency services unreachable.",P1
TSI-209-0255,Roaming,"Internet speed on Unlimited 2GB/day dropped to under 1Mbps for 3 days in Jaipur, well below promised speed.",P2
TSI-209-0080,Billing,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0440,Device,"General query about upgrading from Postpaid Family 4GB to a higher data plan, want to compare pricing.",P3
TSI-209-0303,Billing,Requesting duplicate invoice copy for Business Fiber 200Mbps subscription for tax filing purposes.,P3
TSI-209-0035,Device,"Billing system charged Rs.249 twice for same cycle, unauthorized deduction, need reversal today.",P1
TSI-209-0041,Billing,"Unauthorized transaction of Rs.599 detected on my account, suspect fraud, need immediate account freeze.",P1
TSI-209-0394,Service Outage,Asking about coverage map for Kochi before relocating next month.,P3
TSI-209-0038,Device,"All towers down in Jaipur after storm, zero connectivity for 25+ hours, emergency services unreachable.",P1
TSI-209-0198,Data Plan,"Internet speed on Unlimited 1.5GB/day dropped to under 1Mbps for 3 days in Jaipur, well below promised speed.",P2
TSI-209-0193,Data Plan,"Internet speed on Postpaid Family 4GB dropped to under 1Mbps for 3 days in Chandigarh, well below promised speed.",P2
TSI-209-0020,Device,"Fiber service down for Ahmedabad business park, 12 customers affected, revenue loss ongoing.",P1
TSI-209-0050,Device,"All towers down in Lucknow after storm, zero connectivity for 42+ hours, emergency services unreachable.",P1
TSI-209-0252,Roaming,"Billing dispute: charged for Unlimited 2GB/day but never subscribed, difference of Rs.1499 on this month's bill.",P2
TSI-209-0433,Device,"General query about upgrading from Unlimited 2GB/day to a higher data plan, want to compare pricing.",P3
TSI-209-0082,Service Outage,"Unauthorized transaction of Rs.599 detected on my account, suspect fraud, need immediate account freeze.",P1
TSI-209-0352,Network,Would like to know the process to add an additional SIM under Business Fiber 200Mbps family plan.,P3
TSI-209-0039,Device,"Complete network outage in Hyderabad since 13 hours, entire Hyderabad zone affected, business customers unable to make calls.",P1
TSI-209-0164,Customer Support,"Data plan Unlimited 1.5GB/day not activating after recharge, 30 hours passed, partial refund also missing.",P2
TSI-209-0181,Network,"Data plan Business Fiber 200Mbps not activating after recharge, 42 hours passed, partial refund also missing.",P2
TSI-209-0348,Billing,Requesting duplicate invoice copy for Postpaid Infinity 5GB subscription for tax filing purposes.,P3
TSI-209-0086,Data Plan,"Unauthorized transaction of Rs.599 detected on my account, suspect fraud, need immediate account freeze.",P1
TSI-209-0206,Network,"Billing dispute: charged for Unlimited 2GB/day but never subscribed, difference of Rs.1499 on this month's bill.",P2
TSI-209-0436,Billing,Asking about coverage map for Jaipur before relocating next month.,P3
TSI-209-0010,Customer Support,"Unauthorized transaction of Rs.599 detected on my account, suspect fraud, need immediate account freeze.",P1
TSI-209-0360,Roaming,"General query about upgrading from Prepaid Smart 3GB to a higher data plan, want to compare pricing.",P3
TSI-209-0331,Customer Support,Would like to know the process to add an additional SIM under Unlimited 1.5GB/day family plan.,P3
TSI-209-0153,Billing,"Internet speed on Prepaid Smart 3GB dropped to under 1Mbps for 3 days in Kochi, well below promised speed.",P2
TSI-209-0118,Device,"Fiber service down for Bangalore business park, 15 customers affected, revenue loss ongoing.",P1
TSI-209-0306,Roaming,Asking about coverage map for Kochi before relocating next month.,P3
TSI-209-0267,Customer Support,"Data plan Unlimited 2GB/day not activating after recharge, 2 hours passed, partial refund also missing.",P2
TSI-209-0045,Service Outage,"Fiber service down for Kolkata business park, 15 customers affected, revenue loss ongoing.",P1
TSI-209-0364,Roaming,Asking about coverage map for Bangalore before relocating next month.,P3
TSI-209-0279,Device,"Data plan Business Fiber 200Mbps not activating after recharge, 43 hours passed, partial refund also missing.",P2
TSI-209-0322,Roaming,"General query about upgrading from Unlimited 1.5GB/day to a higher data plan, want to compare pricing.",P3
TSI-209-0075,Roaming,"Billing system charged Rs.149 twice for same cycle, unauthorized deduction, need reversal today.",P1
TSI-209-0094,Service Outage,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0254,Service Outage,"Frequent call drops in Bangalore during peak hours, roughly 65 drops per day, affecting work calls.",P2
TSI-209-0376,Data Plan,"Feedback on customer support call experience, overall satisfied, small suggestion for wait time.",P3
TSI-209-0103,Service Outage,"Unauthorized transaction of Rs.1499 detected on my account, suspect fraud, need immediate account freeze.",P1
TSI-209-0139,Customer Support,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0253,Service Outage,"Device replacement request for faulty router, still under warranty, 23 days since first complaint.",P2
TSI-209-0276,Roaming,"Billing dispute: charged for Business Fiber 200Mbps but never subscribed, difference of Rs.299 on this month's bill.",P2
TSI-209-0048,Device,"SIM swapped without my consent, OTPs being received by unknown number, urgent security issue.",P1
TSI-209-0109,Service Outage,"All towers down in Bangalore after storm, zero connectivity for 27+ hours, emergency services unreachable.",P1
TSI-209-0018,Network,"Billing system charged Rs.999 twice for same cycle, unauthorized deduction, need reversal today.",P1
